"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Dec 04 18:38:39 +0000 2023","1731744844664692903","Dr. David Martin gives expert testimony on the Pandemic and it's consequences to the House of Commons. @DrDMartinWorld #Plandemic #Warpspeed #COVID19 https://t.co/20HGEWDdQP","176","149","1145","1974","en","14904707","1731744844664692903","KeithQiColey","https://twitter.com/KeithQiColey/status/1731744844664692903","https://pbs.twimg.com/amplify_video_thumb/1731743290913964032/img/vBoDgGRRJFWw-dQg.jpg","Banner elk, nc"
"Mon Dec 04 03:34:08 +0000 2023","1731517213557801001","Vomiting is a new #COVID19 variant symptom  right?  Bc the bathroom has just been painted a glorious shade of beige.  Exposed 10 days ago  both v unwell for 7 days; SOB  congestion  antibx for me &amp; now a surprise 3am 🤮 for Anna.  Neg tests all week 🤷🏼‍♀️ #LongCovid #longcovidkids","3","38","20","169","en","1629460692070744067","1731517213557801001","HelenMMGoss","https://twitter.com/HelenMMGoss/status/1731517213557801001","","Scotland, UK"
"Wed Nov 29 13:22:08 +0000 2023","1729853249975386563","#COVID19 continues to spread and endanger people's lives. For those who never received a COVID-19 vaccine  at least one dose is recommended.  Consult your local health worker.  More information: https://t.co/J24IdagZVY https://t.co/5xNF8Jv1Yk","144","1204","293","524","en","14499829","1729853249975386563","WHO","https://twitter.com/WHO/status/1729853249975386563","https://pbs.twimg.com/media/GAGsJr7WwAA0iXF.jpg","Geneva, Switzerland"
"Wed Dec 06 06:19:04 +0000 2023","1732283494737301524","#BREAKING: 💥💥💥New Zealand is finding out the truth! MASSIVE death numbers following the COVID-19 clot shot. Health Care Worker/Data Administrator  Barry Young  BLEW THE LID on How Many People Truly Died from Pfizer Vaccine Batches! 💥💥💥#COVID19 https://t.co/c5pWSfmF9z","2","8","83","133","en","1607512205108428801","1732283494737301524","online_shogun","https://twitter.com/online_shogun/status/1732283494737301524","","New York, NY"
"Sun Dec 03 05:18:55 +0000 2023","1731181195172466812","#Covid19 Think we're rid of Covid? Think again.  Every week about 1 000 Americans are dying from the disease &amp; some 15 000 hospitalized. Almost all of us know people sick with SARS-CoV-2  most older &amp; unvaccinated  but plenty of small kids  too! PLEASE get vaccinated!","2","6","49","122","en","104932756","1731181195172466812","IrwinRedlenerMD","https://twitter.com/IrwinRedlenerMD/status/1731181195172466812","","New York, NY"
"Sun Dec 03 14:53:26 +0000 2023","1731325777638023451","🚨BREAKING🚨#NewZealand police are raiding the home of the whistleblower who leaked #Covid19 vaccine mortality data to the world. https://t.co/5jjPqIh5eP","3","11","102","155","en","1518644583109910528","1731325777638023451","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1731325777638023451","https://pbs.twimg.com/amplify_video_thumb/1731325505356357632/img/SPSm8fhKeeA0iUx3.jpg","Saskatoon, Saskatchewan"
"Tue Dec 05 02:18:23 +0000 2023","1731860538286911918","* Can We Please Get Rid of the Term: Immunity Debt * LaughterinLight PhD is a biomedical researcher  immunologist. https://t.co/7wQVatloQ5 #COVID19 #ImmunityDebt  @science_lil #GetVaccinated #MaskUp #AvoidCOVID #ventilation #airquality #airfiltration #COVIDisAirborne #LongCOVID https://t.co/R9k1t5uT9Z","2","4","63","125","en","1044113264","1731860538286911918","SharonBurnabyBC","https://twitter.com/SharonBurnabyBC/status/1731860538286911918","https://pbs.twimg.com/ext_tw_video_thumb/1731860308141170688/pu/img/cz-FmGQn1FkQZ8v6.jpg",""
"Mon Dec 04 16:16:25 +0000 2023","1731709048582512879","Here's a little reminder of Boris Johnson taking Covid seriously... #BorisJohnson #COVID19 #CovidInquiry #covidinquiryUK https://t.co/shx68S97VR","16","46","431","948","en","1521140245970010113","1731709048582512879","WokeyMcWokefac3","https://twitter.com/WokeyMcWokefac3/status/1731709048582512879","https://pbs.twimg.com/media/GAhEM6nXEAA8HyJ.jpg",""
"Tue Dec 05 01:03:05 +0000 2023","1731841586969940073","#COVID19 cautious folks take appropriate precautions because we're aware. Meanwhile  commenters so bothered by the #masks strangers wear to the point they have to obsessively search posts to vacuously regurgitate falsehoods reveal themselves as the ones actually living in fear.","0","6","34","191","en","1445454626522755078","1731841586969940073","catladyactivist","https://twitter.com/catladyactivist/status/1731841586969940073","","Genocide Joe's Covid Hellscape"
"Wed Dec 06 20:06:40 +0000 2023","1732491769550696543","I had the hottest date with Goth Euro Babe @TheBlackMorea   The head scratches weren’t her only talent 🥵  On my 0F this weekend 🤌🏽😈   #COVID19 #BorisJohnson https://t.co/utDQOSAEZh","1","1","43","320","en","1341232232485113857","1732491769550696543","show_apollo","https://twitter.com/show_apollo/status/1732491769550696543","https://pbs.twimg.com/ext_tw_video_thumb/1732491655805276160/pu/img/Ah_XuBZHRmyt-w3t.jpg","Brisbane, Queensland"
"Mon Dec 04 05:01:31 +0000 2023","1731539202871857395","🚨BREAKING: Medical Whistleblower Barry Young in #NewZealand drops the actual numbers of the #COVID19 fake #vaccine deaths where 20% or 1 in 5 people died!   The genocide has been revealed! If those are NZ's numbers  they're probably similar everywhere else.   1/2 https://t.co/db8l5bZAtU","1","16","117","198","en","1600711689846013957","1731539202871857395","BradJKD","https://twitter.com/BradJKD/status/1731539202871857395","https://pbs.twimg.com/media/GAeoN6iWUAAWQMe.jpg","CANADA"
"Tue Dec 05 16:44:47 +0000 2023","1732078573924610333","🚨NEW: I’m calling for a BAN on TRAVEL to Communist #China until we know exactly what this new respiratory illness is all about!  The CCP &amp; the World Health Organization lied and millions died from #COVID19 — we cannot let that happen again! https://t.co/a2Ivv1LyN4","7","55","55","125","en","1343679195034103808","1732078573924610333","RepCarlos","https://twitter.com/RepCarlos/status/1732078573924610333","https://pbs.twimg.com/ext_tw_video_thumb/1732078538067468288/pu/img/zxFlyUfN8b8MegJK.jpg","Miami, FL"
"Tue Dec 05 10:25:59 +0000 2023","1731983247725281588","#COVID19 cases are on the rise in many parts of the world.  Make sure you’re fully protected. #VaccinesWork to keep you safe. Check your vaccination status and consult your local health worker.  https://t.co/J24IdagZVY https://t.co/L7JnM9g5YJ","124","1376","182","385","en","14499829","1731983247725281588","WHO","https://twitter.com/WHO/status/1731983247725281588","https://pbs.twimg.com/media/GAk9WeHXUAAorGR.jpg","Geneva, Switzerland"
"Wed Dec 06 18:12:01 +0000 2023","1732462915683283097","1) BREAKING: Quebec  like other jurisdictions across North America  is now in the midst of a new #COVID19 resurgence — nearly 4 years into the #pandemic. In this thread  I will assess the implications of this latest wave of infections  likely driven by a new SARS-CoV-2 variant. https://t.co/LjFCK6XKZu","12","15","143","381","en","161505969","1732462915683283097","Aaron_Derfel","https://twitter.com/Aaron_Derfel/status/1732462915683283097","https://pbs.twimg.com/media/GArn8zCWsAA40mE.jpg","Montréal, Québec"
"Mon Dec 04 12:34:46 +0000 2023","1731653266780369188","💩 is hitting the fan in #NewZealand‼️  Rightfully so. The government over there was committing mass genocide with the #covid19 vaccine on its citizens. Just like your government is too. ✅","14","47","536","846","en","1518644583109910528","1731653266780369188","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1731653266780369188","","Saskatoon, Saskatchewan"
"Fri Dec 01 06:27:44 +0000 2023","1730473737357852837","* What’s Behind the Surge in Respiratory Illness in Children * November 28  2023. #COVID19 #respiratory #children #pneumonia  LaughterinLight PhD is a biomedical researcher  immunologist. https://t.co/JfRPBA2Fii @science_lil https://t.co/BWVaMOcuH4","12","11","190","439","en","1044113264","1730473737357852837","SharonBurnabyBC","https://twitter.com/SharonBurnabyBC/status/1730473737357852837","https://pbs.twimg.com/ext_tw_video_thumb/1730473484235800576/pu/img/3jDNPLFm6qnnk_vr.jpg",""
"Mon Dec 04 09:24:55 +0000 2023","1731605491900379639","Everyone knows that SARS1 survivors suffered from Long Covid too  right?!  SARS1 symptoms 10 years on:  🚨Chronic fatigue  🚨Compromised immune system more vulnerable to pneumonias &amp; colds  🚨Numbness in feet &amp; hands  🚨PTSD  #LongCovid #COVID19 #SARS2 https://t.co/Fau4QpcwLn","9","23","205","548","en","1225382429080391680","1731605491900379639","LongCovidHell","https://twitter.com/LongCovidHell/status/1731605491900379639","","London, England"
"Mon Dec 04 11:53:30 +0000 2023","1731642883214598431","Monday Riddle:  Q: What is the difference between #COVID19 and #NetZero?  A: For Covid the government had a tried and tested plan.  But panicked  ripped it up and did something really stupid instead  For NetZero they never had a plan  But are doing something really stupid anyway! https://t.co/TExx0d95N3","1","38","65","204","en","98583506","1731642883214598431","latimeralder","https://twitter.com/latimeralder/status/1731642883214598431","https://pbs.twimg.com/media/GAgH_RDW0AAcMvs.jpg","UK"
"Mon Dec 04 16:09:35 +0000 2023","1731707329765158914","The lovely Emily  who works at the Legal Centre  which is going to help with my son’s disability appeal. She gladly wore the Aura I provided  the ventilation in the room was good  and there was an operational Honeywell air purifier in the corner. ❤️ #COVID19 #Disability #Ontario https://t.co/5AM6ANvVEq","11","128","42","493","en","15396523","1731707329765158914","lucyveepee","https://twitter.com/lucyveepee/status/1731707329765158914","https://pbs.twimg.com/media/GAhColoWIAAmKvf.jpg","Ontario, Canada"
"Sun Dec 03 01:26:34 +0000 2023","1731122724544860163","All over the world  airlines are now falling apart because of a lack of staff due to #COVID19  #LongCovid and other mass infections caused by lower immunity for millions post-#COVID. (They’re not saying this is the reason  of course  but it is.)  Other businesses and… https://t.co/ICfjqtqEN4","4","18","101","402","en","2277445532","1731122724544860163","MFWitches","https://twitter.com/MFWitches/status/1731122724544860163","https://pbs.twimg.com/media/GAYu8C6aUAAsCHS.jpg","Salem"
"Fri Dec 01 23:38:12 +0000 2023","1730733062269637115","Apparently  #JoeBiden is completely uninterested in a disease that killed 1.1 million #Americans and devastated #American society. Is he our president or #China’s? #COVID19 @mschlapp @mercedesschlapp @CPAC","5","34","163","385","en","151930383","1730733062269637115","GordonGChang","https://twitter.com/GordonGChang/status/1730733062269637115","",""
"Thu Nov 30 20:42:05 +0000 2023","1730326354896302176","Interesting indeed...  #COVID19  #Pfizer  #Texas https://t.co/ZilAJdGK4K","7","45","28","192","en","889831292623360000","1730326354896302176","CoffindafferFBI","https://twitter.com/CoffindafferFBI/status/1730326354896302176","https://pbs.twimg.com/media/GANapnEWIAAixXj.jpg",""
